NUM_KERNELS 5
FC1_SIZE 845
FC2_SIZE 100
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz
tf.trainable_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>]
tf.all_variables [<tf.Variable 'W_conv1:0' shape=(5, 5, 1, 5) dtype=float32_ref>, <tf.Variable 'batch_normalization/gamma:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/beta:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_mean:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'batch_normalization/moving_variance:0' shape=(845,) dtype=float32_ref>, <tf.Variable 'W_fc1:0' shape=(845, 100) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/gamma:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/beta:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_mean:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'batch_normalization_1/moving_variance:0' shape=(100,) dtype=float32_ref>, <tf.Variable 'W_fc2:0' shape=(100, 10) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/gamma:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/beta:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_mean:0' shape=(10,) dtype=float32_ref>, <tf.Variable 'batch_normalization_2/moving_variance:0' shape=(10,) dtype=float32_ref>]
step 0, training accuracy 0.14, 36.5701 msec to evaluate
step 100, training accuracy 0.06, 3.81207 msec to evaluate
step 200, training accuracy 0.3, 3.52383 msec to evaluate
step 300, training accuracy 0.32, 3.62372 msec to evaluate
step 400, training accuracy 0.32, 4.37689 msec to evaluate
step 500, training accuracy 0.48, 3.70598 msec to evaluate
step 600, training accuracy 0.46, 4.18353 msec to evaluate
step 700, training accuracy 0.42, 4.09865 msec to evaluate
step 800, training accuracy 0.38, 4.08077 msec to evaluate
step 900, training accuracy 0.52, 3.79634 msec to evaluate
test accuracy 0.498
step 1000, training accuracy 0.5, 4.41599 msec to evaluate
step 1100, training accuracy 0.62, 4.18901 msec to evaluate
step 1200, training accuracy 0.62, 3.82924 msec to evaluate
step 1300, training accuracy 0.56, 5.42259 msec to evaluate
step 1400, training accuracy 0.54, 4.01449 msec to evaluate
step 1500, training accuracy 0.48, 3.40295 msec to evaluate
step 1600, training accuracy 0.54, 3.3443 msec to evaluate
step 1700, training accuracy 0.6, 3.7818 msec to evaluate
step 1800, training accuracy 0.58, 4.57621 msec to evaluate
step 1900, training accuracy 0.52, 4.12321 msec to evaluate
test accuracy 0.6711
step 2000, training accuracy 0.68, 3.2773 msec to evaluate
step 2100, training accuracy 0.66, 3.75724 msec to evaluate
step 2200, training accuracy 0.68, 3.90267 msec to evaluate
step 2300, training accuracy 0.74, 3.88288 msec to evaluate
step 2400, training accuracy 0.76, 3.932 msec to evaluate
step 2500, training accuracy 0.64, 3.74675 msec to evaluate
step 2600, training accuracy 0.7, 3.7334 msec to evaluate
step 2700, training accuracy 0.74, 4.37069 msec to evaluate
step 2800, training accuracy 0.82, 3.70741 msec to evaluate
step 2900, training accuracy 0.78, 4.12679 msec to evaluate
test accuracy 0.7991
step 3000, training accuracy 0.74, 3.85785 msec to evaluate
step 3100, training accuracy 0.78, 4.18043 msec to evaluate
step 3200, training accuracy 0.76, 4.6277 msec to evaluate
step 3300, training accuracy 0.76, 3.21651 msec to evaluate
step 3400, training accuracy 0.8, 4.85539 msec to evaluate
step 3500, training accuracy 0.88, 4.06337 msec to evaluate
step 3600, training accuracy 0.78, 3.72744 msec to evaluate
step 3700, training accuracy 0.86, 4.41241 msec to evaluate
step 3800, training accuracy 0.84, 3.87931 msec to evaluate
step 3900, training accuracy 0.86, 4.1225 msec to evaluate
test accuracy 0.8472
step 4000, training accuracy 0.86, 3.71838 msec to evaluate
step 4100, training accuracy 0.74, 4.65703 msec to evaluate
