# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.006        0.000     9488.602    16127.195
       1.007        0.000     9488.602    16127.195
       2.009        1.000     9488.602    16127.195
       3.010        0.000     9488.602    16127.195
       4.012        1.000     9488.602    16127.195
       5.013     1046.000    10138.301    16371.723
       6.014     1669.700    11069.973    17309.574
       7.016       18.000    10132.152    16371.723
       8.017      789.900    10138.492    16371.723
       9.018     1842.400    11070.996    17309.574
      10.019       15.000    10133.324    16371.723
      11.021      717.000    10136.336    16371.723
      12.022     1908.200    11072.625    17309.574
      13.024       23.000    10134.918    16371.723
      14.025      578.400    10139.215    16371.723
      15.026     2069.800    11072.754    17309.574
      16.028       22.000    10135.152    16371.723
      17.029      510.500    10141.523    16371.723
      18.030     2101.700    11072.492    17309.574
      19.032       22.000    10134.887    16371.723
      20.033      701.500    10141.934    16371.723
      21.034     1939.000    11072.723    17309.574
      22.036       29.000    10135.027    16371.723
      23.037     1543.600    10654.746    16890.918
      24.039        8.000    10135.746    16371.723
      25.041        0.000    10135.746    16371.723
      26.042        0.000    10135.746    16371.723
      27.044       36.900     9986.570    16371.723
      28.045     2578.400    11071.691    17309.574
      29.047       19.000    10133.961    16371.723
      30.048      721.000    10139.977    16371.723
      31.049     1863.000    11072.480    17309.574
      32.051       32.000     9651.031    16371.723
      33.052     1979.300    10142.094    16371.723
      34.054      605.100    11072.734    17309.574
      35.055       43.900     9947.387    16371.723
      36.057     2526.100    11073.078    17309.574
      37.058       31.900    10135.289    16371.723
      38.060      403.400    10140.918    16371.723
      39.061     2198.900    11071.379    17309.574
      40.063       32.000     9611.625    16371.723
      41.064     2001.200    10142.336    16371.723
      42.066      619.000    11072.539    17309.574
      43.067     1029.400    10141.652    16371.723
      44.069      489.200    10135.293    16371.723
      45.070        0.000    10135.293    16371.723
      46.072        0.000    10135.293    16371.723
      47.074        0.000    10135.293    16371.723
      48.075        0.000    10135.293    16371.723
      49.077        1.000    10135.293    16371.723
      50.078        1.000    10135.293    16371.723
      51.079        0.000    10135.293    16371.723
      52.081        0.000    10135.293    16371.723
      53.082        0.000    10135.293    16371.723
      54.084        0.000    10135.293    16371.723
      55.085        1.000    10135.293    16371.723
      56.087       36.900     9991.789    16892.887
      57.088     1417.000    10664.250    16893.578
      58.089     3054.300    12376.457    18613.031
      59.090       28.000    12376.457    18613.031
      60.092       29.000    10657.062    16893.578
      61.093       36.900     9961.199    16893.453
      62.095     1043.600    10664.125    16893.453
      63.096     3333.800    12376.742    18612.719
      64.098       27.000    12376.742    18612.719
      65.100       32.000    10657.477    16893.453
      66.101       36.900     9972.566    16893.578
      67.103     1310.100    10662.883    16893.578
      68.104     3011.200    12377.270    18613.031
