# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000     7032.859    42081.176
       1.003       87.900     8087.297    42081.176
       2.004       87.900     9126.281    42081.176
       3.005       87.900    10136.133    42081.176
       4.007       88.900    11183.367    42081.176
       5.008       87.900    12231.633    42081.176
       6.009       80.900    13205.648    42081.176
       7.011       87.900    14264.227    42081.176
       8.012       87.900    15306.047    42081.176
       9.014       84.900    16349.930    42081.176
      10.015       68.900    17381.180    42081.176
      11.017       73.900    18392.320    42081.176
      12.018       67.900    19429.758    42081.176
      13.020       87.900    20476.219    42081.176
      14.021      841.800    23264.379    47631.875
      15.022     5396.400    37802.207    62428.227
      16.024     1527.700    42175.516    67136.371
      17.025     5431.700    62836.160    88465.863
      18.027      377.400    62986.094    88623.191
      19.028     3863.400    63023.734    88687.191
      20.030     4093.600    63023.734    88687.191
      21.032     4108.700    63024.355    88687.191
      22.034     4091.800    63031.688    88687.191
      23.035     4108.800    63031.688    88687.191
      24.037     4087.200    63031.688    88687.191
      25.039     3961.500    63031.688    88687.191
      26.040     3758.900    63031.688    88687.191
      27.042     3662.100    63031.688    88687.191
      28.044     3264.800    63031.688    88687.191
      29.045     2982.300    63031.688    88687.191
      30.047     2522.100    63031.688    88687.191
      31.048     1962.000    63031.688    88687.191
      32.050     2484.300    63032.801    88623.191
      33.051     3889.100    63032.801    88623.191
      34.053     3054.500    64099.188    89259.129
      35.054     5544.500    74520.648    99946.938
      36.056     1378.900    77466.488   102687.055
      37.057       27.000    77466.488   102687.055
      38.059       45.900    58146.480   102687.055
      39.061       88.900    57746.250    83232.895
      40.062      722.900    58023.738    83232.895
      41.063       15.000    58023.738    83232.895
      42.065       76.900    57592.965    83232.895
      43.067      740.800    58027.105    83232.895
      44.068       20.000    58027.105    83232.895
      45.070       59.900    57390.598    83232.895
      46.071      808.700    58031.609    83232.895
      47.073       28.000    58031.609    83232.895
      48.074       40.900    57169.258    83232.895
      49.076      450.300    57173.520    82373.039
      50.077      417.400    58033.836    83232.895
      51.079       23.000    56976.836    83232.895
      52.080       90.900    58033.930    83232.895
      53.082      782.700    58033.039    83232.895
      54.083       13.000    56765.406    83232.895
      55.085       66.900    57820.117    83232.895
      56.086      806.900    58035.238    83232.895
      57.088       14.000    58035.238    83232.895
      58.089       61.900    57572.238    83232.895
      59.091      837.700    58037.906    83232.895
      60.092       20.000    58037.906    83232.895
      61.094       44.900    57350.094    83232.895
      62.096      710.800    57847.633    83232.895
      63.097      168.700    58037.125    83232.895
      64.099       31.000    57130.172    83232.895
      65.100      495.300    57264.992    83232.895
      66.101      422.400    58039.109    83232.895
      67.103       18.000    56881.305    83232.895
      68.104       75.900    57926.734    83232.895
      69.106      885.500    58041.484    83232.895
      70.108       11.000    58041.484    83232.895
      71.109       73.900    57700.945    83232.895
      72.111      920.700    58039.863    83232.895
      73.112       20.000    58039.863    83232.895
      74.113       53.900    57412.379    83232.895
      75.115      702.700    57234.395    83232.895
      76.117      408.200    58042.121    83232.895
      77.119       30.000    57076.387    83232.895
      78.120      471.300    58043.305    83232.895
      79.122      509.200    58043.051    83232.895
      80.123       13.000    56756.340    83232.895
      81.125       74.900    57816.961    83232.895
      82.126      968.500    57826.945    83014.148
      83.128       19.000    56556.219    82686.090
      84.129      453.300    57424.145    82686.090
      85.131     3873.400    56873.941    82044.980
      86.132     4396.100    60102.883    84200.484
      87.133     4084.700    62238.109    86463.801
      88.135     4387.300    65507.477    91335.809
      89.136     4326.400    68001.469    93956.125
      90.138     4283.200    70692.926    96707.504
      91.139     4281.100    73833.469    99596.508
      92.141     4409.000    74155.715    99596.508
      93.143     4975.600    78181.594   104295.281
      94.144     4587.600    85962.215   111835.059
      95.152      737.600    86827.406   112694.914
      96.154       10.000    85872.621   113022.973
      97.155       89.900    86919.598   113022.973
      98.157      802.700    87155.660   113022.973
      99.159       15.000    87155.660   113022.973
     100.160       69.900    86657.824   113022.973
     101.162      821.700    87155.777   113022.973
     102.164       22.000    87155.777   113022.973
     103.165       51.900    86418.176   113022.973
     104.167      424.300    86295.949   112163.117
     105.168      436.300    87154.719   113022.973
     106.170       29.000    86153.375   113022.973
     107.171      298.500    87154.719   113022.973
     108.173      585.000    87154.840   113022.973
